shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category,shop_district
九田家黑牛烤肉料理(米莱欧百货店),4.8,2424.0,106.0,滨江道,韩式烤肉,和平区
拐枣巷很成都(滨江道店),4.8,1953.0,76.0,滨江道,串串香,和平区
尚渔味双拼烤鱼(万德庄店),4.7,441.0,84.0,海光寺/六里台,烤鱼,和平区
那虎妞炒鸡(乐宾店),4.8,546.0,50.0,滨江道,创意菜,和平区
日牛涮涮锅·和牛寿喜烧日式放题(和平伊势丹店),4.5,2617.0,130.0,滨江道,日式自助,和平区
胖哥鸡肉串·怪味火锅鸡,4.2,108.0,50.0,西康路沿线,烤串,和平区
花田居酒屋,4.9,1812.0,154.0,滨江道,日本料理,和平区
珑隆家·串串遇上锅儿,4.9,1165.0,61.0,西康路沿线,串串香,和平区
囍er· SEAR STEAK GRILL & BAR,4.8,93.0,357.0,鞍山道沿线,牛排,和平区
康太太沙茶面,4.4,298.0,41.0,滨江道,小吃快餐,和平区
芳焰称盘干拌麻辣烫(恒隆店),4.7,246.0,60.0,和平路,四川火锅,和平区
悦林湾卢渔翁鲜焖纸包鱼(万德庄店),4.8,603.0,69.0,海光寺/六里台,烤鱼,和平区
茉莉精品火锅姿造,4.5,229.0,135.0,五大道,海鲜火锅,和平区
山上下日式烤肉(世纪都会店),4.3,93.0,142.0,滨江道,日式烧烤/烤肉,和平区
大吉利·潮汕牛肉火锅(万峰路店),4.8,2859.0,93.0,海光寺/六里台,潮汕牛肉火锅,和平区
BETTERBURGERS,4.6,143.0,60.0,五大道,西餐,和平区
五福全蟹宴·传胪中式茶餐厅,4.2,482.0,144.0,小白楼,茶餐厅,和平区
bluefrog蓝蛙(恒隆广场店),4.8,4163.0,161.0,和平路,西餐,和平区
